-274, -335
-273, -338
-271, -342
-270, -344
-269, -347
-268, -349
-267, -351
-266, -354
-264, -357
-262, -359
-261, -362
-260, -365
-259, -367
-257, -369
-255, -372
-253, -375
-250, -377
-248, -379
-245, -380
-243, -380
-240, -381
-238, -381
-235, -382
-233, -382
-232, -383
-229, -383
-227, -383
-224, -383
-221, -383
-219, -383
-216, -382
-214, -381
-211, -379
-209, -377
-206, -375
-204, -372
-203, -370
-202, -367
-201, -364
-200, -361
-199, -358
-198, -355
-197, -353
-197, -350
-196, -344
-195, -340
-194, -338
-193, -331
-192, -327
-191, -324
-190, -321
-188, -318
-187, -316
-186, -313
-184, -311
-182, -308
-181, -306
-179, -303
-177, -300
-176, -298
-174, -296
-172, -293
-170, -291
-169, -288
-167, -286
-166, -283
-164, -280
-163, -278
-162, -275
-161, -272
-160, -270
-159, -267
