		Response, DN cm$^{-5}$ s$^{-1}$ pix$^{-1}$
T,K	94 131 171 193 211 335

3.0200e+05	1.6478e-29	2.6734e-27	2.7793e-26	2.8646e-26	5.9675e-27	8.5990e-30	
3.0903e+05	2.0074e-29	2.9711e-27	2.8131e-26	2.8158e-26	5.9486e-27	8.7967e-30	
3.1623e+05	2.4246e-29	3.2841e-27	2.8577e-26	2.7662e-26	5.9287e-27	9.0966e-30	
3.2359e+05	2.9042e-29	3.6114e-27	2.9217e-26	2.7203e-26	5.9115e-27	9.4998e-30	
3.3113e+05	3.4511e-29	3.9525e-27	3.0143e-26	2.6825e-26	5.8999e-27	1.0006e-29	
3.3884e+05	4.0698e-29	4.3071e-27	3.1452e-26	2.6555e-26	5.8956e-27	1.0614e-29	
3.4674e+05	4.7642e-29	4.6745e-27	3.3235e-26	2.6409e-26	5.8989e-27	1.1322e-29	
3.5481e+05	5.5383e-29	5.0541e-27	3.5584e-26	2.6391e-26	5.9093e-27	1.2126e-29	
3.6308e+05	6.3954e-29	5.4446e-27	3.8583e-26	2.6497e-26	5.9258e-27	1.3025e-29	
3.7154e+05	7.3382e-29	5.8441e-27	4.2310e-26	2.6715e-26	5.9465e-27	1.4017e-29	
3.8019e+05	8.3690e-29	6.2501e-27	4.6838e-26	2.7028e-26	5.9700e-27	1.5102e-29	
3.8905e+05	9.4895e-29	6.6597e-27	5.2239e-26	2.7424e-26	5.9947e-27	1.6282e-29	
3.9811e+05	1.0701e-28	7.0699e-27	5.8582e-26	2.7885e-26	6.0195e-27	1.7560e-29	
4.0738e+05	1.2003e-28	7.4773e-27	6.5932e-26	2.8400e-26	6.0434e-27	1.8945e-29	
4.1687e+05	1.3396e-28	7.8780e-27	7.4343e-26	2.8953e-26	6.0654e-27	2.0449e-29	
4.2658e+05	1.4877e-28	8.2677e-27	8.3861e-26	2.9534e-26	6.0848e-27	2.2088e-29	
4.3652e+05	1.6443e-28	8.6422e-27	9.4525e-26	3.0130e-26	6.1012e-27	2.3880e-29	
4.4668e+05	1.8091e-28	8.9974e-27	1.0636e-25	3.0735e-26	6.1142e-27	2.5851e-29	
4.5709e+05	1.9817e-28	9.3292e-27	1.1939e-25	3.1340e-26	6.1240e-27	2.8028e-29	
4.6774e+05	2.1612e-28	9.6332e-27	1.3361e-25	3.1940e-26	6.1303e-27	3.0443e-29	
4.7863e+05	2.3468e-28	9.9050e-27	1.4899e-25	3.2529e-26	6.1331e-27	3.3128e-29	
4.8978e+05	2.5377e-28	1.0141e-26	1.6551e-25	3.3103e-26	6.1328e-27	3.6117e-29	
5.0119e+05	2.7327e-28	1.0338e-26	1.8311e-25	3.3661e-26	6.1296e-27	3.9444e-29	
5.1286e+05	2.9310e-28	1.0492e-26	2.0173e-25	3.4202e-26	6.1241e-27	4.3139e-29	
5.2481e+05	3.1314e-28	1.0603e-26	2.2127e-25	3.4723e-26	6.1167e-27	4.7229e-29	
5.3703e+05	3.3328e-28	1.0667e-26	2.4162e-25	3.5225e-26	6.1079e-27	5.1731e-29	
5.4954e+05	3.5344e-28	1.0685e-26	2.6266e-25	3.5708e-26	6.0983e-27	5.6658e-29	
5.6234e+05	3.7355e-28	1.0656e-26	2.8423e-25	3.6175e-26	6.0886e-27	6.2010e-29	
5.7544e+05	3.9357e-28	1.0582e-26	3.0619e-25	3.6627e-26	6.0793e-27	6.7777e-29	
5.8884e+05	4.1350e-28	1.0467e-26	3.2834e-25	3.7067e-26	6.0709e-27	7.3936e-29	
6.0256e+05	4.3335e-28	1.0312e-26	3.5048e-25	3.7496e-26	6.0638e-27	8.0448e-29	
6.1660e+05	4.5317e-28	1.0121e-26	3.7241e-25	3.7918e-26	6.0586e-27	8.7263e-29	
6.3096e+05	4.7300e-28	9.8992e-27	3.9389e-25	3.8337e-26	6.0557e-27	9.4320e-29	
6.4565e+05	4.9290e-28	9.6489e-27	4.1471e-25	3.8760e-26	6.0557e-27	1.0154e-28	
6.6069e+05	5.1291e-28	9.3737e-27	4.3461e-25	3.9191e-26	6.0591e-27	1.0884e-28	
6.7608e+05	5.3308e-28	9.0768e-27	4.5334e-25	3.9637e-26	6.0663e-27	1.1611e-28	
6.9183e+05	5.5343e-28	8.7612e-27	4.7065e-25	4.0109e-26	6.0781e-27	1.2325e-28	
7.0795e+05	5.7396e-28	8.4297e-27	4.8630e-25	4.0616e-26	6.0954e-27	1.3016e-28	
7.2444e+05	5.9468e-28	8.0846e-27	5.0004e-25	4.1174e-26	6.1193e-27	1.3672e-28	
7.4131e+05	6.1549e-28	7.7277e-27	5.1165e-25	4.1795e-26	6.1508e-27	1.4282e-28	
7.5858e+05	6.3627e-28	7.3611e-27	5.2086e-25	4.2497e-26	6.1908e-27	1.4835e-28	
7.7625e+05	6.5689e-28	6.9867e-27	5.2748e-25	4.3300e-26	6.2410e-27	1.5322e-28	
7.9433e+05	6.7718e-28	6.6069e-27	5.3132e-25	4.4228e-26	6.3031e-27	1.5736e-28	
8.1283e+05	6.9692e-28	6.2244e-27	5.3225e-25	4.5312e-26	6.3791e-27	1.6071e-28	
8.3176e+05	7.1586e-28	5.8416e-27	5.3015e-25	4.6581e-26	6.4713e-27	1.6320e-28	
8.5114e+05	7.3366e-28	5.4611e-27	5.2495e-25	4.8071e-26	6.5819e-27	1.6481e-28	
8.7096e+05	7.5001e-28	5.0857e-27	5.1663e-25	4.9819e-26	6.7136e-27	1.6554e-28	
8.9125e+05	7.6458e-28	4.7180e-27	5.0524e-25	5.1866e-26	6.8691e-27	1.6540e-28	
9.1201e+05	7.7701e-28	4.3608e-27	4.9090e-25	5.4253e-26	7.0514e-27	1.6448e-28	
9.3325e+05	7.8698e-28	4.0163e-27	4.7377e-25	5.7023e-26	7.2638e-27	1.6283e-28	
9.5499e+05	7.9417e-28	3.6868e-27	4.5409e-25	6.0214e-26	7.5095e-27	1.6058e-28	
9.7724e+05	7.9829e-28	3.3740e-27	4.3215e-25	6.3860e-26	7.7922e-27	1.5784e-28	
1.0000e+06	7.9909e-28	3.0794e-27	4.0829e-25	6.7989e-26	8.1157e-27	1.5476e-28	
1.0233e+06	7.9642e-28	2.8042e-27	3.8288e-25	7.2615e-26	8.4845e-27	1.5148e-28	
1.0471e+06	7.9025e-28	2.5493e-27	3.5636e-25	7.7743e-26	8.9039e-27	1.4819e-28	
1.0715e+06	7.8063e-28	2.3150e-27	3.2917e-25	8.3361e-26	9.3799e-27	1.4504e-28	
1.0965e+06	7.6766e-28	2.1012e-27	3.0173e-25	8.9436e-26	9.9197e-27	1.4214e-28	
1.1220e+06	7.5148e-28	1.9075e-27	2.7447e-25	9.5911e-26	1.0531e-26	1.3956e-28	
1.1482e+06	7.3234e-28	1.7329e-27	2.4774e-25	1.0271e-25	1.1224e-26	1.3736e-28	
1.1749e+06	7.1055e-28	1.5762e-27	2.2188e-25	1.0972e-25	1.2008e-26	1.3556e-28	
1.2023e+06	6.8651e-28	1.4360e-27	1.9716e-25	1.1681e-25	1.2897e-26	1.3418e-28	
1.2303e+06	6.6067e-28	1.3110e-27	1.7383e-25	1.2384e-25	1.3903e-26	1.3320e-28	
1.2589e+06	6.3353e-28	1.1994e-27	1.5206e-25	1.3064e-25	1.5040e-26	1.3262e-28	
1.2882e+06	6.0564e-28	1.0998e-27	1.3197e-25	1.3701e-25	1.6321e-26	1.3246e-28	
1.3183e+06	5.7756e-28	1.0107e-27	1.1364e-25	1.4275e-25	1.7759e-26	1.3273e-28	
1.3490e+06	5.4985e-28	9.3057e-28	9.7077e-26	1.4767e-25	1.9361e-26	1.3345e-28	
1.3804e+06	5.2312e-28	8.5829e-28	8.2279e-26	1.5155e-25	2.1133e-26	1.3471e-28	
1.4125e+06	4.9795e-28	7.9277e-28	6.9193e-26	1.5422e-25	2.3073e-26	1.3659e-28	
1.4454e+06	4.7490e-28	7.3313e-28	5.7736e-26	1.5552e-25	2.5172e-26	1.3922e-28	
1.4791e+06	4.5443e-28	6.7857e-28	4.7801e-26	1.5533e-25	2.7408e-26	1.4277e-28	
1.5136e+06	4.3689e-28	6.2850e-28	3.9266e-26	1.5355e-25	2.9748e-26	1.4738e-28	
1.5488e+06	4.2255e-28	5.8244e-28	3.2007e-26	1.5015e-25	3.2144e-26	1.5325e-28	
1.5849e+06	4.1153e-28	5.4005e-28	2.5892e-26	1.4517e-25	3.4537e-26	1.6059e-28	
1.6218e+06	4.0375e-28	5.0105e-28	2.0791e-26	1.3868e-25	3.6853e-26	1.6962e-28	
1.6596e+06	3.9886e-28	4.6516e-28	1.6577e-26	1.3082e-25	3.9000e-26	1.8053e-28	
1.6982e+06	3.9628e-28	4.3216e-28	1.3128e-26	1.2177e-25	4.0879e-26	1.9347e-28	
1.7378e+06	3.9524e-28	4.0184e-28	1.0332e-26	1.1175e-25	4.2386e-26	2.0856e-28	
1.7783e+06	3.9477e-28	3.7399e-28	8.0877e-27	1.0106e-25	4.3422e-26	2.2580e-28	
1.8197e+06	3.9385e-28	3.4841e-28	6.3046e-27	9.0001e-26	4.3904e-26	2.4513e-28	
